locus_tag	ftype	length_bp	gene	EC_number	COG	product
EFAJBHHO_01382	CDS	291				hypothetical protein
EFAJBHHO_01383	CDS	213	cspA		COG1278	Cold shock protein CspA
EFAJBHHO_01384	CDS	213	hokA_2			Protein HokA
EFAJBHHO_01385	CDS	2070	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
EFAJBHHO_01386	CDS	912	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
EFAJBHHO_01387	CDS	300				hypothetical protein
EFAJBHHO_01388	CDS	996	wecH	2.3.1.-	COG3274	O-acetyltransferase WecH
EFAJBHHO_01389	CDS	438	yiaA		COG4682	Inner membrane protein YiaA
EFAJBHHO_01390	CDS	342	yiaB		COG4682	Inner membrane protein YiaB
EFAJBHHO_01391	CDS	1455	xylB	2.7.1.17	COG1070	Xylulose kinase
EFAJBHHO_01392	CDS	1323	xylA	5.3.1.5		Xylose isomerase
EFAJBHHO_01393	CDS	993	xylF		COG4213	D-xylose-binding periplasmic protein
EFAJBHHO_01394	CDS	1542	xylG	3.6.3.17	COG1129	Xylose import ATP-binding protein XylG
EFAJBHHO_01395	CDS	1182	xylH		COG4214	Xylose transport system permease protein XylH
EFAJBHHO_01396	CDS	1179	xylR			Xylose operon regulatory protein
EFAJBHHO_01397	CDS	825				hypothetical protein
EFAJBHHO_01398	CDS	2031	malS	3.2.1.1	COG0366	Periplasmic alpha-amylase
EFAJBHHO_01399	CDS	1254	avtA	2.6.1.66	COG3977	Valine--pyruvate aminotransferase
EFAJBHHO_01400	CDS	474	hyfA_1	1.-.-.-	COG1142	Hydrogenase-4 component A
EFAJBHHO_01401	CDS	849	yiaJ		COG1414	DNA-binding transcriptional repressor YiaJ
EFAJBHHO_01402	CDS	999	dlgD	1.1.1.130	COG2055	2,3-diketo-L-gulonate reductase
EFAJBHHO_01403	CDS	465			COG2731	putative protein
EFAJBHHO_01404	CDS	534	yiaX1_1			putative protein YiaX1
EFAJBHHO_01405	CDS	381	yiaX1_2			putative protein YiaX1
EFAJBHHO_01406	CDS	468	yiaM		COG3090	2,3-diketo-L-gulonate TRAP transporter small permease protein YiaM
EFAJBHHO_01407	CDS	1278	siaM		COG1593	Sialic acid TRAP transporter large permease protein SiaM
EFAJBHHO_01408	CDS	987	yiaO		COG1638	2,3-diketo-L-gulonate-binding periplasmic protein YiaO
EFAJBHHO_01409	CDS	1497	lyx	2.7.1.-	COG1070	L-xylulose/3-keto-L-gulonate kinase
EFAJBHHO_01410	CDS	663	sgbH	4.1.1.85	COG0269	3-keto-L-gulonate-6-phosphate decarboxylase SgbH
EFAJBHHO_01411	CDS	861	ulaE_1	5.1.3.22	COG3623	L-ribulose-5-phosphate 3-epimerase UlaE
EFAJBHHO_01412	CDS	696	sgbE	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase SgbE
EFAJBHHO_01413	CDS	1539	aldB	1.2.1.-	COG1012	Aldehyde dehydrogenase B
EFAJBHHO_01414	CDS	1296				hypothetical protein
EFAJBHHO_01415	CDS	1152	adhB	1.1.1.1		Alcohol dehydrogenase 2
EFAJBHHO_01416	CDS	1845	selB		COG3276	Selenocysteine-specific elongation factor
EFAJBHHO_01417	CDS	1392	selA	2.9.1.1	COG1921	L-seryl-tRNA(Sec) selenium transferase
EFAJBHHO_01418	CDS	609	yibF		COG0625	putative GST-like protein YibF
EFAJBHHO_01419	CDS	1137	yibH		COG1566	Inner membrane protein YibH
EFAJBHHO_01420	CDS	363	yiaW			Inner membrane protein YiaW
EFAJBHHO_01421	CDS	1914	mtlA_1		COG2213	PTS system mannitol-specific EIICBA component
EFAJBHHO_01422	CDS	1149	mtlD	1.1.1.17	COG0246	Mannitol-1-phosphate 5-dehydrogenase
EFAJBHHO_01423	CDS	588	mtlR		COG3722	Mannitol operon repressor
EFAJBHHO_01424	CDS	210				hypothetical protein
EFAJBHHO_01425	CDS	363	yibL			putative protein YibL
EFAJBHHO_01426	CDS	159				hypothetical protein
EFAJBHHO_01427	CDS	450	sadB			Inner membrane lipoprotein SadB
EFAJBHHO_01428	CDS	4710	ehaG		COG5295	Autotransporter adhesin EhaG
EFAJBHHO_01429	CDS	1656	lldP		COG1620	L-lactate permease
EFAJBHHO_01430	CDS	777	lldR_1		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
EFAJBHHO_01431	CDS	1191	lldD	1.1.-.-	COG1304	L-lactate dehydrogenase
EFAJBHHO_01432	CDS	474	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
EFAJBHHO_01433	CDS	822	cysE_1	2.3.1.30	COG1045	Serine acetyltransferase
EFAJBHHO_01434	CDS	1020	gpsA	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
EFAJBHHO_01435	CDS	468	secB		COG1952	Protein-export protein SecB
EFAJBHHO_01436	CDS	252	grxC		COG0695	Glutaredoxin 3
EFAJBHHO_01437	CDS	432	yibN		COG0607	putative protein YibN
EFAJBHHO_01438	CDS	1545	gpmI	5.4.2.12	COG0696	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
EFAJBHHO_01439	CDS	1260	envC		COG4942	Murein hydrolase activator EnvC
EFAJBHHO_01440	CDS	960			COG2861	putative protein
EFAJBHHO_01441	CDS	1035	epsJ_1	2.4.-.-	COG0463	putative glycosyltransferase EpsJ
EFAJBHHO_01442	CDS	1026	tdh	1.1.1.103	COG1063	L-threonine 3-dehydrogenase
EFAJBHHO_01443	CDS	1197	kbl	2.3.1.29	COG0156	2-amino-3-ketobutyrate coenzyme A ligase
EFAJBHHO_01444	CDS	933	hldD	5.1.3.20	COG0451	ADP-L-glycero-D-manno-heptose-6-epimerase
EFAJBHHO_01445	CDS	1047	rfaF	2.-.-.-	COG0859	ADP-heptose--LPS heptosyltransferase 2
EFAJBHHO_01446	CDS	981	rfaC	2.-.-.-	COG0859	Lipopolysaccharide heptosyltransferase 1
EFAJBHHO_01447	CDS	1254	rfaL			O-antigen ligase
EFAJBHHO_01448	CDS	984	epsJ_2	2.4.-.-	COG0463	putative glycosyltransferase EpsJ
EFAJBHHO_01449	CDS	1029	gspA_1		COG1442	General stress protein A
EFAJBHHO_01450	CDS	693	rfaY	2.7.1.-		Lipopolysaccharide core heptose(II) kinase RfaY
EFAJBHHO_01451	CDS	996	gspA_2		COG1442	General stress protein A
EFAJBHHO_01452	CDS	549				hypothetical protein
EFAJBHHO_01453	CDS	411	ydfO_1		COG5562	putative protein YdfO
EFAJBHHO_01454	CDS	465				hypothetical protein
EFAJBHHO_01455	CDS	534	rrrD_3	3.2.1.17	COG3772	Lysozyme RrrD
EFAJBHHO_01456	CDS	273				hypothetical protein
EFAJBHHO_01457	CDS	345	ydfR_1			putative protein YdfR
EFAJBHHO_01458	CDS	216				hypothetical protein
EFAJBHHO_01459	CDS	228				hypothetical protein
EFAJBHHO_01460	tRNA	77				tRNA-Arg(tct)
EFAJBHHO_01461	tRNA	77				tRNA-Arg(tcg)
EFAJBHHO_01462	tRNA	76				tRNA-Met(cat)
EFAJBHHO_01463	CDS	1050	dpnA	2.1.1.72		Modification methylase DpnIIB
EFAJBHHO_01464	CDS	198				hypothetical protein
EFAJBHHO_01465	CDS	822				hypothetical protein
EFAJBHHO_01466	CDS	375	rusA_2	3.1.22.4	COG4570	Crossover junction endodeoxyribonuclease RusA
EFAJBHHO_01467	CDS	1047				hypothetical protein
EFAJBHHO_01468	CDS	213	hokC_1			Toxic protein HokC
EFAJBHHO_01469	CDS	1002				hypothetical protein
EFAJBHHO_01470	CDS	1023				hypothetical protein
EFAJBHHO_01471	CDS	423				hypothetical protein
EFAJBHHO_01472	CDS	1071				hypothetical protein
EFAJBHHO_01473	CDS	426				hypothetical protein
EFAJBHHO_01474	CDS	243				hypothetical protein
EFAJBHHO_01475	CDS	339	lexA_1	3.4.21.88		LexA repressor
EFAJBHHO_01476	CDS	237				hypothetical protein
EFAJBHHO_01477	CDS	129	ydfB			putative protein YdfB
EFAJBHHO_01478	CDS	222				hypothetical protein
EFAJBHHO_01479	CDS	165				hypothetical protein
EFAJBHHO_01480	CDS	189				hypothetical protein
EFAJBHHO_01481	CDS	192				hypothetical protein
EFAJBHHO_01482	CDS	2472	recE	3.1.11.-		Exodeoxyribonuclease 8
EFAJBHHO_01483	CDS	1131				hypothetical protein
EFAJBHHO_01484	CDS	639	ompW		COG3047	Outer membrane protein W
EFAJBHHO_01485	CDS	744				hypothetical protein
EFAJBHHO_01486	CDS	540	yciB		COG2917	putative intracellular septation protein A
EFAJBHHO_01487	CDS	399		3.1.2.-	COG1607	putative acyl-CoA thioester hydrolase
EFAJBHHO_01488	CDS	717	tonB_2		COG0810	Protein TonB
EFAJBHHO_01489	CDS	297	yciI		COG2350	Protein YciI
EFAJBHHO_01490	CDS	1254	kch		COG1226	Voltage-gated potassium channel Kch
EFAJBHHO_01491	CDS	1461	clsA	2.7.8.-	COG1502	Cardiolipin synthase A
EFAJBHHO_01492	CDS	330				hypothetical protein
EFAJBHHO_01493	CDS	1005	oppF_2		COG4608	Oligopeptide transport ATP-binding protein OppF
EFAJBHHO_01494	CDS	1014	oppD		COG0444	Oligopeptide transport ATP-binding protein OppD
EFAJBHHO_01495	CDS	909	oppC		COG1173	Oligopeptide transport system permease protein OppC
EFAJBHHO_01496	CDS	921	oppB		COG0601	Oligopeptide transport system permease protein OppB
EFAJBHHO_01497	CDS	1677	oppA		COG4166	Periplasmic oligopeptide-binding protein
EFAJBHHO_01498	CDS	162				hypothetical protein
EFAJBHHO_01499	CDS	156				hypothetical protein
EFAJBHHO_01500	CDS	648				hypothetical protein
EFAJBHHO_01501	CDS	2676	adhE_1		COG1012	Aldehyde-alcohol dehydrogenase
EFAJBHHO_01502	CDS	1206				hypothetical protein
EFAJBHHO_01503	CDS	618	tdk	2.7.1.21	COG1435	Thymidine kinase
EFAJBHHO_01504	CDS	414	hns		COG2916	DNA-binding protein H-NS
EFAJBHHO_01505	CDS	909	galU	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
EFAJBHHO_01506	CDS	1014	rssB		COG0784	Regulator of RpoS
EFAJBHHO_01507	CDS	945			COG1752	putative NTE family protein
EFAJBHHO_01508	CDS	459				hypothetical protein
EFAJBHHO_01509	CDS	843	purU	3.5.1.10	COG0788	Formyltetrahydrofolate deformylase
EFAJBHHO_01510	tRNA	85				tRNA-Tyr(gta)
EFAJBHHO_01511	tRNA	85				tRNA-Tyr(gta)
EFAJBHHO_01512	CDS	1200				hypothetical protein
EFAJBHHO_01513	CDS	678	narI	1.7.99.4	COG2181	Respiratory nitrate reductase 1 gamma chain
EFAJBHHO_01514	CDS	711	narJ		COG2180	Nitrate reductase molybdenum cofactor assembly chaperone NarJ
EFAJBHHO_01515	CDS	1539	narH	1.7.99.4	COG1140	Respiratory nitrate reductase 1 beta chain
EFAJBHHO_01516	CDS	3744	narG	1.7.99.4	COG5013	Respiratory nitrate reductase 1 alpha chain
EFAJBHHO_01517	CDS	1392	narK		COG2223	Nitrate/nitrite transporter NarK
EFAJBHHO_01518	CDS	219				hypothetical protein
EFAJBHHO_01519	CDS	1797	narX	2.7.13.3		Nitrate/nitrite sensor protein NarX
EFAJBHHO_01520	CDS	651	narL_1		COG2197	Nitrate/nitrite response regulator protein NarL
EFAJBHHO_01521	CDS	1395				Invasin
EFAJBHHO_01522	CDS	354	ychN		COG1553	Protein YchN
EFAJBHHO_01523	CDS	717	chaC	4.3.2.-	COG3703	Glutathione-specific gamma-glutamylcyclotransferase
EFAJBHHO_01524	CDS	231	chaB		COG4572	Putative cation transport regulator ChaB
EFAJBHHO_01525	CDS	1101	chaA		COG0387	Sodium-potassium/proton antiporter ChaA
EFAJBHHO_01526	CDS	108	ldrA			Small toxic polypeptide LdrA
EFAJBHHO_01527	CDS	855	kdsA	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
EFAJBHHO_01528	CDS	810				hypothetical protein
EFAJBHHO_01529	CDS	393	ychQ		COG3094	Protein YchQ
EFAJBHHO_01530	CDS	834	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
EFAJBHHO_01531	CDS	1083	prfA_1		COG0216	Peptide chain release factor RF1
EFAJBHHO_01532	CDS	1326	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
EFAJBHHO_01533	CDS	624	lolB		COG3017	Outer-membrane lipoprotein LolB
EFAJBHHO_01534	CDS	852	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
EFAJBHHO_01535	CDS	1014	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
EFAJBHHO_01536	CDS	1653	dauA		COG0659	C4-dicarboxylic acid transporter DauA
EFAJBHHO_01537	CDS	279				hypothetical protein
EFAJBHHO_01538	CDS	585	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
EFAJBHHO_01539	CDS	1092	ychF		COG0012	Ribosome-binding ATPase YchF
EFAJBHHO_01540	CDS	177				hypothetical protein
EFAJBHHO_01541	CDS	1920	dhaR_1		COG3284	PTS-dependent dihydroxyacetone kinase operon regulatory protein
EFAJBHHO_01542	CDS	1071	dhaK_1	2.7.1.121	COG2376	PEP-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK
EFAJBHHO_01543	CDS	633	dhaL_1	2.7.1.121	COG2376	PEP-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL
EFAJBHHO_01544	CDS	1419	dhaM	3.5.1.-	COG1080	Protein-lysine deacetylase
EFAJBHHO_01545	CDS	1698	treA	3.2.1.28	COG1626	Periplasmic trehalase
EFAJBHHO_01546	CDS	1023				hypothetical protein
EFAJBHHO_01547	CDS	981			COG0609	putative ABC transporter permease protein
EFAJBHHO_01548	CDS	759			COG1120	putative ABC transporter ATP-binding protein
EFAJBHHO_01549	CDS	813	ubiE_1	2.1.1.163		Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
EFAJBHHO_01550	CDS	855	nadC_1	2.4.2.19	COG0157	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
EFAJBHHO_01551	CDS	1971	cirA_1		COG4771	Colicin I receptor
EFAJBHHO_01552	CDS	255				hypothetical protein
EFAJBHHO_01553	CDS	735	ycgR		COG5581	Flagellar brake protein YcgR
EFAJBHHO_01554	CDS	612	emtA	4.2.2.-	COG0741	Endo-type membrane-bound lytic murein transglycosylase A
EFAJBHHO_01555	CDS	915	ldcA	3.4.17.13	COG1619	Murein tetrapeptide carboxypeptidase
EFAJBHHO_01556	CDS	1737	cvrA		COG3263	K(+)/H(+) antiporter NhaP2
EFAJBHHO_01557	CDS	1071	dadX	5.1.1.1	COG0787	Alanine racemase, catabolic
EFAJBHHO_01558	CDS	1299	dadA	1.4.99.-	COG0665	D-amino acid dehydrogenase
EFAJBHHO_01559	CDS	1533				hypothetical protein
EFAJBHHO_01560	CDS	720	fadR		COG2186	Fatty acid metabolism regulator protein
EFAJBHHO_01561	CDS	1542	nhaB		COG3067	Na(+)/H(+) antiporter NhaB
EFAJBHHO_01562	CDS	531	dsbB		COG1495	Disulfide bond formation protein B
EFAJBHHO_01563	CDS	1269	umuC_1		COG0389	Protein UmuC
EFAJBHHO_01564	CDS	420	umuD_1	3.4.21.-	COG1974	Protein UmuD
EFAJBHHO_01565	CDS	447				hypothetical protein
EFAJBHHO_01566	CDS	660	ycgM		COG0179	putative protein YcgM
EFAJBHHO_01567	CDS	294	ycgL		COG3100	Protein YcgL
EFAJBHHO_01568	CDS	402	pliG			Inhibitor of g-type lysozyme
EFAJBHHO_01569	CDS	369				hypothetical protein
EFAJBHHO_01570	CDS	696	minC		COG0850	Septum site-determining protein MinC
EFAJBHHO_01571	CDS	813	minD		COG2894	Septum site-determining protein MinD
EFAJBHHO_01572	CDS	267	minE		COG0851	Cell division topological specificity factor
EFAJBHHO_01573	CDS	327				putative autotransporter
EFAJBHHO_01574	CDS	285				hypothetical protein
EFAJBHHO_01575	CDS	330	ymgD			putative protein YmgD
EFAJBHHO_01576	CDS	528	icsA		COG3468	Outer membrane protein IcsA autotransporter
EFAJBHHO_01577	CDS	780	ycbF		COG3121	putative fimbrial chaperone YcbF
EFAJBHHO_01578	CDS	573	ycbV		COG3539	putative fimbrial-like protein YcbV
EFAJBHHO_01579	CDS	564	lpfA_1			putative major fimbrial subunit LpfA
EFAJBHHO_01580	CDS	2595	elfC		COG3188	putative outer membrane usher protein ElfC
EFAJBHHO_01581	CDS	753	fimC_1			Chaperone protein FimC
EFAJBHHO_01582	CDS	705	lpfA_2			putative major fimbrial subunit LpfA
EFAJBHHO_01583	CDS	2448	malP_1	2.4.1.1	COG0058	Maltodextrin phosphorylase
EFAJBHHO_01584	CDS	1434	glgA	2.4.1.21	COG0297	Glycogen synthase
EFAJBHHO_01585	CDS	1296	glgC	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
EFAJBHHO_01586	CDS	1974	glgX	3.2.1.196	COG1523	Glycogen debranching enzyme
EFAJBHHO_01587	CDS	2187	glgB	2.4.1.18	COG0296	1,4-alpha-glucan branching enzyme GlgB
EFAJBHHO_01588	CDS	1104	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
EFAJBHHO_01589	CDS	594				hypothetical protein
EFAJBHHO_01590	CDS	1341	gntU		COG2610	Low-affinity gluconate transporter
EFAJBHHO_01591	CDS	528	gntK_1	2.7.1.12	COG3265	Thermoresistant gluconokinase
EFAJBHHO_01592	CDS	996	gntR_1			HTH-type transcriptional regulator GntR
EFAJBHHO_01593	CDS	696	yhhW	1.13.11.24	COG1741	Quercetin 2,3-dioxygenase
EFAJBHHO_01594	CDS	1038	yhhX	1.-.-.-	COG0673	putative oxidoreductase YhhX
EFAJBHHO_01595	CDS	489	aaaT	2.3.1.-	COG0454	L-amino acid N-acetyltransferase AaaT
EFAJBHHO_01596	CDS	801	hcpA_1		COG3157	Major exported protein
EFAJBHHO_01597	CDS	495				hypothetical protein
EFAJBHHO_01598	CDS	285				hypothetical protein
EFAJBHHO_01599	CDS	1734	ggt	3.4.19.13	COG0405	Glutathione hydrolase proenzyme
EFAJBHHO_01600	CDS	441	yhhA			putative protein YhhA
EFAJBHHO_01601	CDS	744	ugpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, cytoplasmic
EFAJBHHO_01602	CDS	1071	ugpC_1	3.6.3.20	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
EFAJBHHO_01603	CDS	846	lacG			Lactose transport system permease protein LacG
EFAJBHHO_01604	CDS	888	ugpA		COG1175	sn-glycerol-3-phosphate transport system permease protein UgpA
EFAJBHHO_01605	CDS	1317	ugpB		COG1653	sn-glycerol-3-phosphate-binding periplasmic protein UgpB
EFAJBHHO_01606	CDS	714	livF		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
EFAJBHHO_01607	CDS	768	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
EFAJBHHO_01608	CDS	1278				hypothetical protein
EFAJBHHO_01609	CDS	927	livH		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
EFAJBHHO_01610	CDS	1110	livK		COG0683	Leucine-specific-binding protein
EFAJBHHO_01611	CDS	384	panZ			PanD regulatory factor
EFAJBHHO_01612	CDS	1104	livJ		COG0683	Leu/Ile/Val-binding protein
EFAJBHHO_01613	CDS	402	manX_2	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component
EFAJBHHO_01614	CDS	486	manX_3	2.7.1.191		PTS system mannose-specific EIIAB component
EFAJBHHO_01615	CDS	747	sorC_1		COG3715	PTS system sorbose-specific EIIC component
EFAJBHHO_01616	CDS	855	manZ_2		COG3716	PTS system mannose-specific EIID component
EFAJBHHO_01617	CDS	921		1.1.1.81	COG0111	Hydroxypyruvate reductase
EFAJBHHO_01618	CDS	885	dapA_2	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
EFAJBHHO_01619	CDS	855	rpoH		COG0568	RNA polymerase sigma factor RpoH
EFAJBHHO_01620	CDS	1059	ftsX		COG2177	Cell division protein FtsX
EFAJBHHO_01621	CDS	669	ftsE		COG2884	Cell division ATP-binding protein FtsE
EFAJBHHO_01622	CDS	1497	ftsY		COG0552	Signal recognition particle receptor FtsY
EFAJBHHO_01623	CDS	597	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
EFAJBHHO_01624	CDS	270				hypothetical protein
EFAJBHHO_01625	CDS	360				hypothetical protein
EFAJBHHO_01626	CDS	627				hypothetical protein
EFAJBHHO_01627	CDS	2199	zntA	3.6.3.-		Zinc/cadmium/lead-transporting P-type ATPase
EFAJBHHO_01628	CDS	246	tusA		COG0425	Sulfur carrier protein TusA
EFAJBHHO_01629	CDS	666	yhhQ		COG1738	Queuosine precursor transporter
EFAJBHHO_01630	CDS	558				hypothetical protein
EFAJBHHO_01631	CDS	1260	yhhS			putative MFS-type transporter YhhS
EFAJBHHO_01632	CDS	1050	yhhT_1		COG0628	Putative transport protein YhhT
EFAJBHHO_01633	CDS	588	sfp_1	2.7.8.7	COG2091	4'-phosphopantetheinyl transferase Sfp
EFAJBHHO_01634	CDS	1575	nikA		COG0747	Nickel-binding periplasmic protein
EFAJBHHO_01635	CDS	945	nikB		COG0601	Nickel transport system permease protein NikB
EFAJBHHO_01636	CDS	834	nikC		COG1173	Nickel transport system permease protein NikC
EFAJBHHO_01637	CDS	765	nikD	3.6.3.24		Nickel import ATP-binding protein NikD
EFAJBHHO_01638	CDS	807	nikE	3.6.3.24		Nickel import ATP-binding protein NikE
EFAJBHHO_01639	CDS	402	nikR		COG0864	Nickel-responsive regulator
EFAJBHHO_01640	CDS	96				hypothetical protein
EFAJBHHO_01641	CDS	747	mngR_2		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
EFAJBHHO_01642	CDS	474				hypothetical protein
EFAJBHHO_01643	CDS	282	gatB_1	2.7.1.200	COG3414	PTS system galactitol-specific EIIB component
EFAJBHHO_01644	CDS	1359	gatC_1		COG3775	PTS system galactitol-specific EIIC component
EFAJBHHO_01645	CDS	1509	fucK_1	2.7.1.51	COG1070	L-fuculokinase
EFAJBHHO_01646	CDS	270	ptsH_1		COG1925	Phosphocarrier protein HPr
EFAJBHHO_01647	CDS	852	kbaY_2	4.1.2.40	COG0191	D-tagatose-1,6-bisphosphate aldolase subunit KbaY
EFAJBHHO_01648	CDS	1125	yhhJ		COG0842	Inner membrane transport permease YhhJ
EFAJBHHO_01649	CDS	2736	rbbA		COG0842	Ribosome-associated ATPase
EFAJBHHO_01650	CDS	1068				hypothetical protein
EFAJBHHO_01651	CDS	1065	yhiM			Inner membrane protein YhiM
EFAJBHHO_01652	CDS	1194			COG2081	putative protein
EFAJBHHO_01653	CDS	1500	pitA_1		COG0306	Low-affinity inorganic phosphate transporter 1
EFAJBHHO_01654	CDS	336	uspB			Universal stress protein B
EFAJBHHO_01655	CDS	435	uspA		COG0589	Universal stress protein A
EFAJBHHO_01656	CDS	1470	dtpB		COG3104	Dipeptide and tripeptide permease B
EFAJBHHO_01657	CDS	753	rsmJ	2.1.1.242		Ribosomal RNA small subunit methyltransferase J
EFAJBHHO_01658	CDS	2043	prlC	3.4.24.70	COG0339	Oligopeptidase A
EFAJBHHO_01659	CDS	843	rlmJ	2.1.1.266	COG2961	Ribosomal RNA large subunit methyltransferase J
EFAJBHHO_01660	CDS	1353	gor	1.8.1.7	COG1249	Glutathione reductase
EFAJBHHO_01661	CDS	174				hypothetical protein
EFAJBHHO_01662	CDS	426	arsC	1.20.4.1		Arsenate reductase
EFAJBHHO_01663	CDS	174				hypothetical protein
EFAJBHHO_01664	CDS	567	slp_2		COG3065	Outer membrane protein slp
EFAJBHHO_01665	CDS	531	dctR		COG2771	HTH-type transcriptional regulator DctR
EFAJBHHO_01666	CDS	1029	hemS		COG3720	Hemin transport protein HemS
EFAJBHHO_01667	CDS	1983	hemR_2		COG1629	Hemin receptor
EFAJBHHO_01668	CDS	915	hmuT		COG4558	Hemin-binding periplasmic protein HmuT
EFAJBHHO_01669	CDS	1338				Oxygen-independent coproporphyrinogen-III oxidase-like protein
EFAJBHHO_01670	CDS	495				hypothetical protein
EFAJBHHO_01671	CDS	624				hypothetical protein
EFAJBHHO_01672	CDS	957	hmuU_1		COG0609	Hemin transport system permease protein HmuU
EFAJBHHO_01673	CDS	771	hmuV	3.6.3.-		Hemin import ATP-binding protein HmuV
EFAJBHHO_01674	CDS	576	sapB_1		COG1285	Protein SapB
EFAJBHHO_01675	CDS	339	hdeB			Acid stress chaperone HdeB
EFAJBHHO_01676	CDS	333	hdeA			Acid stress chaperone HdeA
EFAJBHHO_01677	CDS	573	hdeD		COG3247	Protein HdeD
EFAJBHHO_01678	CDS	528	gadE			Transcriptional regulator GadE
EFAJBHHO_01679	CDS	330				hypothetical protein
EFAJBHHO_01680	CDS	1158	mdtE			Multidrug resistance protein MdtE
EFAJBHHO_01681	CDS	3114	mdtF		COG0841	Multidrug resistance protein MdtF
EFAJBHHO_01682	CDS	282				hypothetical protein
EFAJBHHO_01683	CDS	729	gadW			HTH-type transcriptional regulator GadW
EFAJBHHO_01684	CDS	825	gadX_1			HTH-type transcriptional regulator GadX
EFAJBHHO_01685	CDS	276				hypothetical protein
EFAJBHHO_01686	CDS	2073				hypothetical protein
EFAJBHHO_01687	CDS	1542	ydiF_2	2.8.3.8	COG4670	Acetate CoA-transferase YdiF
EFAJBHHO_01688	CDS	777	crt_1	4.2.1.150	COG1024	Short-chain-enoyl-CoA hydratase
EFAJBHHO_01689	CDS	849				hypothetical protein
EFAJBHHO_01690	CDS	792	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
EFAJBHHO_01691	CDS	648	nicS			HTH-type transcriptional repressor NicS
EFAJBHHO_01692	CDS	639	oapA		COG3061	Opacity-associated protein OapA
EFAJBHHO_01693	CDS	621	fklB	5.2.1.8	COG0545	FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase
EFAJBHHO_01694	CDS	1413	cycA			D-serine/D-alanine/glycine transporter
EFAJBHHO_01695	CDS	663	ytfE		COG2846	Iron-sulfur cluster repair protein YtfE
EFAJBHHO_01696	CDS	966	ytfF			Inner membrane protein YtfF
EFAJBHHO_01697	CDS	861	qorB	1.6.5.2	COG0702	Quinone oxidoreductase 2
EFAJBHHO_01698	CDS	381	hxlR		COG1733	HTH-type transcriptional activator HxlR
EFAJBHHO_01699	CDS	1944	cpdB	3.1.3.6	COG0737	2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase
EFAJBHHO_01700	CDS	741	cysQ	3.1.3.7	COG1218	3'(2'),5'-bisphosphate nucleotidase CysQ
EFAJBHHO_01701	CDS	558	ytfJ_1		COG3054	putative protein YtfJ
EFAJBHHO_01702	CDS	207				hypothetical protein
EFAJBHHO_01703	CDS	1344				hypothetical protein
EFAJBHHO_01704	CDS	639	msrA	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
EFAJBHHO_01705	CDS	1734	tamA		COG0729	Translocation and assembly module subunit TamA
EFAJBHHO_01706	CDS	3780	tamB		COG2911	Translocation and assembly module subunit TamB
EFAJBHHO_01707	CDS	342	ytfP		COG2105	Gamma-glutamylcyclotransferase family protein YtfP
EFAJBHHO_01708	CDS	531	ppa	3.6.1.1	COG0221	Inorganic pyrophosphatase
EFAJBHHO_01709	CDS	957	ytfQ			ABC transporter periplasmic-binding protein YtfQ
EFAJBHHO_01710	CDS	1503	fruK_1	3.6.3.17	COG1129	Fructose import ATP-binding protein FruK
EFAJBHHO_01711	CDS	1023	ytfT			Inner membrane ABC transporter permease protein YtfT
